NAME,LATITUDE,LONGITUDE,CITY,STATE
CATHOLIC MEDICAL CENTER,42.99156518,-71.4743109,MANCHESTER,NH
CROTCHED MOUNTAIN REHABILITATION CENTER,42.9718711,-71.87453591,GREENFIELD,NH
MONADNOCK COMMUNITY HOSPITAL,42.89308942,-71.94068275,PETERBOROUGH,NH
SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,42.75627984,-71.4613747,NASHUA,NH
ST JOSEPH HOSPITAL,42.74923911,-71.48021205,NASHUA,NH
ELLIOT HOSPITAL CITY OF MANCHESTER,42.983954,-71.438,MANCHESTER,NH
CONCORD HOSPITAL,43.19774414,-71.5620204,CONCORD,NH
FRANKLIN REGIONAL HOSPITAL,43.44840426,-71.64455273,FRANKLIN,NH
HEALTHSOUTH REHABILITATION HOSPITAL,43.19977474,-71.56283486,CONCORD,NH
NEW LONDON HOSPITAL,43.42063768,-72.00004766,NEW LONDON,NH
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,40.78005719,-72.97714065,PATCHOGUE,NY
SOUTHAMPTON HOSPITAL,40.88505974,-72.37994406,SOUTHAMPTON,NY
EASTERN LONG ISLAND HOSPITAL,41.11036057,-72.36112732,GREENPORT,NY
HUNTINGTON HOSPITAL,40.87932924,-73.41619953,HUNTINGTON,NY
SOUTHSIDE HOSPITAL,40.72596015,-73.24115864,BAY SHORE,NY
PECONIC BAY MEDICAL CENTER,40.93426399,-72.67362495,RIVERHEAD,NY
ST CHARLES HOSPITAL AND REHABILITATION CENTER,40.94663123,-73.06096322,PORT JEFFERSON,NY
CARDINAL HILL REHABILITATION HOSPITAL,38.04697243,-84.54138894,LEXINGTON,KY
FLEMING COUNTY HOSPITAL,38.42215105,-83.75154531,FLEMINGSBURG,KY
BAPTIST HEALTH LEXINGTON,38.01880519,-84.51185771,LEXINGTON,KY
EASTERN STATE HOSPITAL,38.06030326,-84.49856874,LEXINGTON,KY
ST. CATHERINE OF SIENA MEDICAL CENTER,40.86850019,-73.22299673,SMITHTOWN,NY
SAINT JOSEPH EAST,37.9994201,-84.439155,LEXINGTON,KY
