"id","Tier"
"cEW1BiNLPAel0flu9SQluQ","A"
"vjTGVqedAoiMBtcbp14G4Q","A"
"wtP76DJCEkkEcyFgcnq-Mg","A"
"ckevgV4hJkFrrXOUP_BYgQ","A"
"RE5uwf7kuckpy9gKq6i2aw","A"
"3pVhEwRS7eNwDgESPXZWKg","A"
"MhgSSd3f6L690lcHix72nA","A"
"2jC7adpqpzRZMLl4RP6QAw","A"
"p115OorDjBGcy-EPXiB2KA","A"
"qROjTjrfMNci6_utkFn9NA","A"
"5vEdJyniW9xjQRJMNJuTYg","A"
"KJ88MH47cuusKFPDrYm3zw","A"
"iKAwdGVCp2tmo2jC6VNIWg","A"
"1wNtpV1h1hZxwGW-qJftzw","A"
"EBruZ59lc4aC3NYjRTXpJQ","A"
"peAcJIgwd5tjVuG1qH2-yQ","A"
"4PEa64gJ-csfvjJIPhjxzw","A"
"6pwdY4cbrNLck2LKL5yqRA","A"
"PgPw-6YU3Hny5nQx2qkzUg","A"
"qdfIk7YU_eb_czQh6HdDWA","A"
"naPjNkvj5EOR7WovBWF-zw","A"
"DHHX3W_18cqwGY_HWPYybg","A"
"kiK5I_4boN1lZQqMpR24cw","A"
"Bj617ckQhnX4EKyM3mo6Ug","A"
"3p4RKoGfk1CYXAQAt4vPpg","A"
"q0rQaSuRHw4d3qypOW4M2g","A"
"Kb56zg-WgIXMv4C66F80qw","A"
"ugMYFH0zpI3pfjjRAqRgRg","A"
"U6d1hYvwKdMPp3CeGmFzhA","A"
"EO7hLli8wk2fSOcePLC-fQ","A"
"7gEJc0a5cHWhK-E26A7U8Q","A"
"seZAtULkFY2jGk-7AhCICw","A"
"82KmSsdIcsB8x1bAPX0cmw","A"
"HSQZupQGczhKSMQqK9ewxA","A"
"2EVgSV7qLqgC_ytcK75zdg","A"
"4-A3b9A8cqzyAGBYL7VAhg","A"
"UY1Zv8y16bQSmx6eBpusiw","A"
"7la6VZRZYGsMeBrSWVgqEQ","A"
"p6P0rrJLcorMBdwfkFPlVQ","A"
"Grd_hkP0dfWnMSQcXcCU6g","A"
"h3G-3vNgeOdP9VkcmINHpg","A"
"AZCtQlNPreoG0kPEMaW_Wg","A"
"VKZvdwK0bfVRAGGv1cuVTQ","B"
"kAudUVVOPMLJQA_2528uoA","B"
"MsOAi58wyOfO4N8IOCLXZw","B"
"CWVA4vryKTyBiJ1h2J7zKA","B"
"4R2dp-amlB66mBxk4_8Ttw","B"
"K0OvBFtwY3TnmxVgiQsEhA","B"
"4kg74E_bhwbdovG2WQq58g","B"
"lEjbQgb77t6uVQTM3K6YSg","B"
"8GEqiAQ1sDVLhWQYuJeSPg","B"
"fCcjmODOZaeBavVHFeQtxg","B"
"9ANHGGeqvPfv_W3ehFLWLg","B"
"Tu0lTy5-vSTgo4glJFDMBw","B"
"Rovm8tNkZSR-k5jTe_6fEw","B"
"46ZNNelI9b6pkhoPAOGOHA","B"
"CQEgT_BPugoSsZgf6QUE4A","B"
"aLd0QouZR_r2BZ0SJIcgMQ","B"
"RzKR1EMiXF7ImgX0Lj_QGg","B"
"D-Tx1tStmjLQhEvmyMzXmQ","B"
"Q2ybMreVvUm34zz_CAMALw","B"
"I6suYpV7mM39v_M65NkmUA","B"
"llF8KiDzxUHouf_dXL6XdQ","B"
"iHFwF-2J_zARPZmyZu-jJw","B"
"l9YMWMq5p_qAc_nEoUilmw","B"
"9kizUGaaG67GjcRwCpf-zw","B"
"NTFGMJgsnrMbm7Ct9d0x2A","B"
"Yeu-HKf3nBvd3sJrCTT25w","B"
"zWdKbu39_7xkn81FCoXLkA","B"
"xrjVhgl1BjYvyDq9qEfxCw","B"
"0q5oqAZ2tfwlL7iKPux7xQ","B"
"plYIsS2S0OQikbBZIlds1w","B"
"sAI4FFYKRn0yPFX3-oUr1w","B"
"j93fXjzwDRPaPIiDbGY-Kg","B"
"mNSkc4n0l-M_wBRbdwWKhw","B"
"NTYIrXVps2greDuR-sN3TA","B"
"PrrvLOpU8d5BL9rzL8mEAQ","B"
"Mdaeu8ub8H0YW7zi_1Ox0Q","B"
"at-jzmH2iafuAxptocr8RA","B"
