Hospital Name,QuVa Customer,Definitive ID,Final Tier,Beds,IDN,IDN Final Tier,Definitive IDN ID,City,State,Zip Code,GPO Affiliations,Zip_Code,Longitude,Latitude
Gritman Medical Center,True,1102,D,25.0,,,-1,MOSCOW,ID,83843,HealthTrust Purchasing Group (HPG),83843,-116.9897,46.7309
Sonoma Valley Hospital,True,613,B,75.0,,,-1,SONOMA,CA,95476,"Premier Inc, Intalere (FKA: Amerinet)",95476,-122.4696,38.2849
Newman Regional Health,True,1577,C,30.0,,,-1,EMPORIA,KS,66801,Vizient,66801,-96.1871,38.4184
INTEGRIS Canadian Valley  Hospital,True,3262,C,75.0,INTEGRIS Health,A,4899,YUKON,OK,73099,"Intalere (FKA: Amerinet), Vizient",73099,-97.7323,35.4977
Community Hospital South,True,1355,B,170.0,Community Health Network (Indianapolis IN),B,550058,INDIANAPOLIS,IN,46227,Vizient,46227,-86.1302,39.6789
Winona Health Services,True,2244,C,64.0,,,-1,WINONA,MN,55987,Premier Inc,55987,-91.7009,44.03
Bonner General Hospital,True,1094,D,25.0,,,-1,SANDPOINT,ID,83864,Vizient,83864,-116.5332,48.312
Reid Health (FKA: Reid Hospital & Health Care Services),True,1404,A,223.0,,,-1,RICHMOND,IN,47374,Vizient,47374,-84.8936,39.8324
Richmond State Hospital,False,6212,B,213.0,Indiana State Psychiatric Hospitals,D,860797,RICHMOND,IN,47374,Vizient,47374,-84.8936,39.8324
Kalispell Regional Medical Center,True,2459,A,288.0,Kalispell Regional Healthcare,B,550492,KALISPELL,MT,59901,"Magnet Group, Vizient, Health Resource Services, Intalere (FKA: Amerinet), Managed Healthcare Associates (MHA)",59901,-114.3039,48.2028
Health Center Northwest,False,2460,C,28.0,Kalispell Regional Healthcare,B,550492,KALISPELL,MT,59901,"Vizient, Managed Healthcare Associates (MHA)",59901,-114.3039,48.2028
St James Healthcare,True,2488,C,67.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,BUTTE,MT,59701,"Vizient, Managed Healthcare Associates (MHA), AmerisourceBergen",59701,-112.5988,45.9979
Holy Rosary Healthcare,True,2453,C,109.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,MILES CITY,MT,59301,"Managed Healthcare Associates (MHA), Vizient, AmerisourceBergen",59301,-105.8332,46.4075
Platte Valley Medical Center,True,641,B,183.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,BRIGHTON,CO,80601,"Intalere (FKA: Amerinet), Magnet Group, AmerisourceBergen",80601,-104.7866,39.943000000000005
St Marys Medical Center (FKA: St Marys Hospital And Medical Center),True,689,B,183.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,GRAND JUNCTION,CO,81501,"Vizient, AmerisourceBergen",81501,-108.5457,39.0783
West Springs Hospital (Colorado West Hospital),False,6173,D,32.0,,,-1,GRAND JUNCTION,CO,81501,,81501,-108.5457,39.0783
Grand Junction VA Medical Center,False,687,D,156.0,VA Rocky Mountain Network (VISN 19),C,541811,GRAND JUNCTION,CO,81501,Department of Veterans Affairs,81501,-108.5457,39.0783
Lutheran Medical Center (FKA Exempla Lutheran Medical Center),True,676,B,183.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,WHEAT RIDGE,CO,80033,"Vizient, AmerisourceBergen",80033,-105.0962,39.774
Wide Horizon,False,560442,D,156.0,,,-1,WHEAT RIDGE,CO,80033,,80033,-105.0962,39.774
Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),True,651,B,183.0,Sisters of Charity of Leavenworth Health System (SCL),B,7240,LAFAYETTE,CO,80026,"Vizient, AmerisourceBergen",80026,-105.0963,39.998000000000005
San Juan Regional Medical Center,True,2738,B,184.0,,,-1,FARMINGTON,NM,87401,Vizient,87401,-108.1797,36.7412
San Juan Regional Rehab Hospital,False,6029,D,18.0,,,-1,FARMINGTON,NM,87401,Vizient,87401,-108.1797,36.7412
Gunnison Valley Health,True,673,D,20.0,,,-1,GUNNISON,CO,81230,"Intalere (FKA: Amerinet), Vizient",81230,-106.931,38.5511
Benefis Hospital - East Campus,True,2450,A,478.0,Benefis Health System,B,550195,GREAT FALLS,MT,59405,Vizient,59405,-111.2502,47.495
Great Falls Clinic Medical Center,False,2451,D,20.0,Surgery Partners (FKA Symbion Healthcare),D,574627,GREAT FALLS,MT,59405,"HealthTrust Purchasing Group (HPG), Intalere (FKA: Amerinet), Health Resource Services",59405,-111.2502,47.495
Benefis Hospital - West Campus,False,550196,B,158.0,Benefis Health System,B,550195,GREAT FALLS,MT,59405,Vizient,59405,-111.2502,47.495
Baptist Memorial Hospital - North Mississippi,True,2284,A,217.0,Baptist Memorial Health Care Corporation,A,4734,OXFORD,MS,38655,"Vizient, Premier Inc",38655,-89.4835,34.3308
Duncan Regional Hospital,True,3357,C,121.0,Duncan Regional Hospital System,D,925239,DUNCAN,OK,73533,Vizient,73533,-97.9403,34.5073
Redlands Community Hospital,True,522,A,229.0,,,-1,REDLANDS,CA,92373,"Vizient, McKesson Pharmaceutical",92373,-117.1804,34.0397
Loma Linda University Behavioral Medicine Center,False,6064,B,89.0,Loma Linda University Health,A,550027,REDLANDS,CA,92373,"Intalere (FKA: Amerinet), Premier Inc",92373,-117.1804,34.0397
Loma Linda University Heart & Surgical Hospital,False,550029,A,158.0,Loma Linda University Health,A,550027,REDLANDS,CA,92373,Premier Inc,92373,-117.1804,34.0397
Baptist Memorial Hospital - Memphis,True,3817,A,807.0,Baptist Memorial Health Care Corporation,A,4734,MEMPHIS,TN,38120,"Vizient, Premier Inc",38120,-89.8651,35.1207
Spence and Becky Wilson Baptist Childrens Hospital,False,855022,C,140.0,Baptist Memorial Health Care Corporation,A,4734,MEMPHIS,TN,38120,Premier Inc,38120,-89.8651,35.1207
Baptist Memorial Restorative Care Hospital,False,5074,D,30.0,Baptist Memorial Health Care Corporation,A,4734,MEMPHIS,TN,38120,Premier Inc,38120,-89.8651,35.1207
Baptist Memorial Hospital For Women,False,541880,B,158.0,Baptist Memorial Health Care Corporation,A,4734,MEMPHIS,TN,38120,"Vizient, Premier Inc",38120,-89.8651,35.1207
Stormont Vail Regional Health Center,True,1620,A,449.0,,,-1,TOPEKA,KS,66604,Vizient,66604,-95.7178,39.0405
Freedom Behavioral Hospital of Topeka,False,900696,D,156.0,,,-1,TOPEKA,KS,66604,,66604,-95.7178,39.0405
Kansas Neurological Institute,False,576753,D,156.0,Kansas Department of Aging and Disabilities (AKA Kansas Department of Social and Rehabilitation Services),D,7082,TOPEKA,KS,66604,,66604,-95.7178,39.0405
Regional West Medical Center,True,2572,B,158.0,,,-1,SCOTTSBLUFF,NE,69361,Vizient,69361,-103.6619,41.872
Cheyenne Regional Medical Center - West Campus,True,4611,B,222.0,Cheyenne Regional Health System,C,552403,CHEYENNE,WY,82001,Vizient,82001,-104.7962,41.1437
